Year,Player,Age,Hometown,Home State,Tm,G,GS,Cmp,Att,Yds,TD,Int,Y/A,Rec,Y/R,FantPos,FantPt,Height (inches),Weight,College,Conference,College wins,College losses,DOB,Draft Round,Draft Year,Wonderlic,40�Yard,Bench Press,Vert Leap�(in),Broad Jump�(in),Shuttle,3Cone
2001,Shawn Bryson,25,Franklin,NC,BUF,15,3,0,80,59,0,0,4.26,9,6.56,RB,52,73,228,Tennessee,SEC,113,75,11/30/1976,3,1999,0,4.63,38.5,38.5,128,0,0
2008,Martellus Bennett,21,San Diego County,TX,DAL,16,7,0,0,283,4,0,,20,14.15,TE,52,79,248,Texas A&M,SEC,107,79,3/10/1987,2,2008,0,4.68,18,34,118,4.53,7.64
2010,Bruce Gradkowski,27,Pittsburgh,PA,OAK,6,4,83,12,0,0,7,3.42,0,,QB,52,73,0,Toledo,MAC,112,72,1/27/1983,6,2006,0,4.59,0,34,107,4.16,7.13
2011,Thomas Jones,33,Big Stone Gap,VA,KAN,16,8,0,153,43,0,0,3.12,5,8.6,RB,52,12,220,Virginia,ACC,90,95,8/19/1978,1,2000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2000,Desmond Clark,23,Bartow,FL,DEN,16,2,0,0,339,3,0,,27,12.56,TE,52,75,255,Wake Forest,ACC,86,96,4/20/1977,0,1999,0,4.86,31,31,113,4.35,7.3
2002,Chris Chandler,37,Everett,WA,CHI,9,7,103,10,0,0,4,3.2,0,,QB,52,76,224,Washington,Pac 12,86,98,10/12/1965,3,1988,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2008,Jerramy Stevens,29,Olympia,WA,TAM,14,3,0,0,397,2,0,,36,11.03,TE,52,79,260,Washington,Pac 12,86,98,11/13/1979,1,2002,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003,Bill Schroeder,32,Eau Claire,WI,DET,16,13,0,0,397,2,0,,36,11.03,WR,52,75,200,Wisc-LaCrosse,#N/A,#N/A,#N/A,1/9/1971,6,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2011,Joe Webb,25,Birmingham,AL,MIN,11,1,34,22,9,0,2,7,1,9,QB,51,76,220,Ala-Birmingham,Conference USA,#N/A,#N/A,11/14/1986,6,2010,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2006,Roddy White,25,James Island,SC,ATL,16,5,0,0,506,0,0,,30,16.87,WR,51,73,201,Ala-Birmingham,Conference USA,#N/A,#N/A,11/2/1981,1,2005,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013,Mark Ingram,24,Hackensack,NJ,NOR,11,3,0,78,68,0,0,4.95,7,9.71,RB,51,70,215,Alabama,SEC,114,58,12/21/1989,1,2011,0,4.62,21,31.5,113,4.62,7.13
2007,Derek Hagan,23,Northridge,CA,MIA,16,1,0,0,373,2,0,,29,12.86,WR,51,73,205,Arizona St.,Pac 12,101,86,9/21/1984,3,2006,0,4.45,0,36,124,4.07,0
2011,Cadillac Williams,29,Gadsden,AL,STL,12,1,0,87,93,0,0,4.15,14,6.64,RB,51,12,217,Auburn,SEC,130,61,4/21/1982,1,2005,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003,Tim Hasselbeck,25,Norfolk,MA,WAS,7,5,95,15,0,0,7,2.73,0,,QB,51,73,0,Boston Col.,ACC,116,74,4/6/1978,0,0,23,4.83,33,33,113,4.4,7.27
2010,Daniel Fells,27,Anaheim,CA,STL,16,6,0,0,391,2,0,,41,9.54,TE,51,76,252,California-Davis,Big Sky,#N/A,#N/A,9/23/1983,0,0,0,4.95,19,29.5,108,4.52,7.29
2002,Ike Hilliard,26,Patterson,LA,NYG,7,7,0,1,386,2,0,7,27,14.3,WR,51,71,210,Florida,SEC,139,55,4/5/1976,1,1997,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1999,Willie Jackson,28,Gainesville,FL,CIN,16,2,0,0,369,2,0,,31,11.9,WR,51,73,212,Florida,SEC,139,55,8/16/1971,4,1994,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013,Rob Housler,25,El Paso,TX,ARI,13,10,0,0,454,1,0,,39,11.64,TE,51,77,238,Florida Atlantic,Conference USA,50,71,3/17/1988,3,2011,0,4.46,22,37,117,4.21,6.9
2007,Devard Darling,25,0,,BAL,16,1,0,0,326,3,0,,18,18.11,WR,51,73,213,Florida St.,ACC,130,54,1/0/1900,3,2004,0,4.52,0,37,129,0,0
2009,Ladell Betts,30,Blue Springs,MO,WAS,10,2,0,56,179,0,0,3.75,17,10.53,RB,51,70,222,Iowa,Big Ten,108,79,8/27/1979,2,2002,0,4.62,23,38,116,4.06,7.06
2012,Tony Moeaki,25,Warrenville,IL,KAN,15,14,0,0,453,1,0,,33,13.73,TE,51,76,250,Iowa,Big Ten,108,79,9/6/1900,3,2010,0,4.69,18,34,113,4.42,7.1
2003,Antonio Gates,23,Detroit,MI,SDG,15,11,0,0,389,2,0,,24,16.21,TE,51,76,260,Kent St.,MAC,66,111,6/18/1980,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002,Brandon Stokley,26,Blacksburg,VA,BAL,8,5,0,6,357,2,0,5.17,24,14.88,WR,51,71,197,La-Lafayette,Sun Belt,74,104,6/23/1976,4,1999,0,4.49,35.5,35.5,118,4.01,7.04
2008,Harry Douglas,24,Jonesboro,GA,ATL,16,0,0,12,320,1,0,5.75,23,13.91,WR,51,71,170,Louisville,ACC,127,61,9/16/1984,3,2008,0,4.51,0,31,120,4.12,6.57
2003,LaBrandon Toefield,23,Independence,LA,JAX,16,0,1,53,105,1,0,4,14,7.5,RB,51,71,232,LSU,SEC,146,48,9/24/1980,4,2003,0,4.6,0,0,0,0,0
2011,Stevan Ridley,22,Natchez,MS,NWE,16,2,0,87,13,0,0,5.07,3,4.33,RB,51,12,230,LSU,SEC,146,48,1/27/1989,3,2011,0,4.65,18,36,118,4.21,6.78
2013,Kellen Winslow,30,San Diego,CA,NYJ,12,3,0,0,388,2,0,,31,12.52,WR,51,76,254,Miami (FL),ACC,130,58,7/21/1983,1,2004,0,4.62,24,0,120,0,0
2004,Najeh Davenport,25,Raleigh,NC,GNB,11,1,0,71,33,0,0,5.06,4,8.25,RB,51,73,245,Miami (FL),ACC,130,58,2/8/1979,4,2002,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2011,Kellen Davis,26,Adrian,MI,CHI,16,15,0,0,206,5,0,,18,11.44,TE,51,78,259,Michigan St.,Big Ten,112,76,10/11/1985,5,2008,0,4.59,22,28,118,4.38,7.25
2004,Eli Manning,23,New Orleans,LA,NYG,9,7,95,6,0,0,9,5.83,0,,QB,51,76,218,Mississippi,SEC,92,91,1/3/1981,1,2004,39,4.9,0,0,0,0,0
2006,Justin Griffith,26,Magee,MS,ATL,16,11,0,19,168,3,0,5.58,23,7.3,RB,51,71,232,Mississippi St.,SEC,83,99,7/21/1980,4,2003,0,4.59,29,32,113,4.68,7.73
2008,Ahman Green,31,Omaha,NE,HOU,8,1,0,74,32,0,0,3.97,11,2.91,RB,51,73,217,Nebraska,Big Ten,134,61,2/16/1977,3,1998,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013,Nate Burleson,32,Calgary,WA,DET,9,8,0,2,461,1,0,-4,39,11.82,WR,51,73,192,Nevada-Reno,Mountain West,93,93,8/19/1981,3,2003,0,4.51,0,42.5,126,4.16,6.96
2001,Alge Crumpler,24,Wilmington,NC,ATL,16,12,0,0,330,3,0,,25,13.2,TE,51,74,262,North Carolina,ACC,70,97,12/23/1977,2,2001,0,4.76,34,34,112,4.43,7.38
2009,Willie Parker,29,Clinton,NC,PIT,14,3,0,98,64,1,0,3.97,6,10.67,RB,51,70,209,North Carolina,ACC,70,97,11/11/1980,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002,Kurt Warner,31,Burlington,IA,STL,7,6,144,8,0,0,11,4.13,0,,QB,51,74,220,Northern Iowa,Missouri Valley,#N/A,#N/A,6/22/1971,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2011,Jacquizz Rodgers,21,Richmond,TX,ATL,16,0,0,57,188,1,0,3.6,21,8.95,RB,51,67,190,Oregon St.,Pac 12,111,76,2/6/1990,5,2011,0,4.59,0,33,113,4.26,7.31
2001,Kyle Brady,29,New Cumberland,PA,JAX,16,16,0,0,386,2,0,,36,10.72,TE,51,78,278,Penn St.,Big Ten,15,68,1/14/1972,1,1995,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013,Brandon Gibson,26,0,,MIA,7,3,0,0,326,3,0,,30,10.87,WR,51,73,204,Rogers,#N/A,#N/A,#N/A,1/0/1900,6,2009,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2007,Marcedes Lewis,23,Long Beach,CA,JAX,16,16,0,0,391,2,0,,37,10.57,TE,51,78,255,UCLA,Pac 12,100,88,5/19/1984,1,2006,0,4.8,23,37,118,4.84,7.24
1999,Skip Hicks,25,Corsicana,TX,WAS,10,2,0,78,72,0,0,3.29,8,9,RB,51,73,230,UCLA,Pac 12,100,88,10/13/1974,3,1998,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2008,Kevin Curtis,30,Murray,UT,PHI,9,8,0,0,390,2,0,,33,11.82,WR,51,71,186,Utah St.,Mountain West,66,112,7/17/1978,3,2003,0,4.42,0,36,122,3.99,6.76
2004,Ricky Proehl,36,Bronx,NY,CAR,16,3,0,1,497,0,0,9,34,14.62,WR,51,73,190,Wake Forest,ACC,86,96,3/7/1968,3,1990,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2011,Brandon Gibson,24,0,,STL,15,9,0,2,431,1,0,8,36,11.97,WR,51,73,204,Washington St.,Pac 12,75,106,1/0/1900,6,2009,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2000,Richard Huntley,28,Monroe,NC,PIT,13,0,0,46,91,0,0,4.67,10,9.1,RB,51,71,224,Winston-Salem St.,MEAC,#N/A,#N/A,9/18/1972,0,1996,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2004,Kris Mangum,31,Magee,MS,CAR,15,10,0,0,323,3,0,,34,9.5,TE,50,76,249,Alabama,SEC,114,58,8/15/1973,7,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009,Bobby Wade,28,Orange County,CA,KAN,12,6,0,3,367,2,0,3.67,36,10.19,WR,50,70,193,Arizona,Pac 12,82,99,2/26/1981,5,2003,0,4.66,0,34.5,115,4.11,7.01
2012,Austin Pettis,24,Anaheim,CA,STL,14,2,0,0,261,4,0,,30,8.7,WR,50,74,205,Boise St.,Mountain West,165,29,7/23/1900,3,2011,0,4.56,14,33.5,120,3.88,6.68
2005,Jeb Putzier,26,Eagle,ID,DEN,16,4,0,0,481,0,0,,37,13,TE,50,76,256,Boise St.,Mountain West,165,29,1/20/1979,6,2002,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2012,Delanie Walker,28,Pomona,CA,SFO,16,4,0,0,344,3,0,,21,16.38,TE,50,73,241,Central Missouri St.,#N/A,#N/A,#N/A,8/28/1900,6,0,0,4.49,0,36.5,118,0,0
2009,Chris Brown,28,Winfield,IL,HOU,14,4,0,79,74,0,1,3.38,16,4.63,RB,50,75,219,Colorado,Pac 12,78,108,4/17/1981,3,2003,0,4.55,17,36,115,0,0
1999,Mike Pritchard,30,Shaw AFB,SC,SEA,14,5,0,0,375,2,0,,26,14.42,WR,50,70,188,Colorado,Pac 12,78,108,10/26/1969,1,1991,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2011,Andre Caldwell,26,Tampa,FL,CIN,13,2,0,0,317,3,0,,37,8.57,WR,50,73,207,Florida,SEC,139,55,4/15/1985,3,2008,0,4.35,0,33,124,4.11,6.75
2011,Hines Ward,35,Forest Park,GA,PIT,15,9,0,0,381,2,0,,46,8.28,WR,50,73,205,Georgia,SEC,142,53,3/8/1976,3,1998,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2011,Mohamed Massaquoi,25,Charlotte,NC,CLE,14,13,0,0,384,2,0,,31,12.39,WR,50,73,210,Georgia,SEC,142,53,11/24/1986,2,2009,0,4.6,0,36.5,127,0,0
2004,Dez White,25,Orange Park,PA,ATL,16,15,0,3,370,2,0,4.67,30,12.33,WR,50,73,215,Georgia Tech,ACC,117,77,8/23/1979,3,2000,0,4.62,0,37.5,124,4.09,6.91
2008,Brandon Lloyd,27,Kansas City,MO,CHI,11,5,0,0,364,2,0,,26,14,WR,50,73,192,Illinois,Big Ten,73,107,7/5/1981,4,2003,0,4.62,0,36,0,0,0
2003,Aveion Cason,24,St. Petersburg,FL,DAL,10,0,1,40,142,0,0,5.5,17,8.35,RB,50,70,204,Illinois St.,Missouri Valley ,#N/A,#N/A,7/12/1979,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2007,Laurent Robinson,22,Fort Lewis,WA,ATL,15,6,0,0,437,1,0,,37,11.81,WR,50,74,192,Illinois St.,Missouri Valley ,#N/A,#N/A,5/20/1985,3,2007,0,4.38,19,39,127,4.28,6.83
2001,Moe Williams,27,Columbus,GA,BAL,15,2,0,65,210,0,0,4.48,23,9.13,RB,50,73,205,Kentucky,SEC,71,110,7/26/1974,3,1996,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013,Willis McGahee,32,Miami,FL,CLE,12,6,0,138,20,0,0,2.73,8,2.5,RB,50,73,228,Miami (FL),ACC,130,58,10/21/1981,1,2003,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2008,Jason Avant,25,Chicago,IL,PHI,15,6,0,0,377,2,0,,32,11.78,WR,50,73,210,Michigan,Big Ten,124,64,4/20/1983,4,2006,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2004,Mark Campbell,29,Clawson,MI,BUF,12,12,0,0,203,5,0,,17,11.94,TE,50,78,255,Michigan,Big Ten,124,64,12/6/1975,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009,Devin Thomas,23,Ann Arbor,MI,WAS,14,10,0,3,325,3,0,-0.67,25,13,WR,50,74,215,Michigan St.,Big Ten,112,76,11/15/1986,2,2008,23,4.41,0,28,126,4.26,7.15
2009,Jerious Norwood,26,Jackson,MS,ATL,10,4,0,76,186,1,0,3.32,19,9.79,RB,50,73,205,Mississippi St.,SEC,83,99,7/29/1983,3,2006,0,4.4,15,36.5,122,4.26,6.81
2007,Ahman Green,30,Omaha,NE,HOU,6,5,0,70,123,0,0,3.71,14,8.79,RB,50,73,217,Nebraska,Big Ten,134,61,2/16/1977,3,1998,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009,Brandon Jackson,24,Detroit,MI,GNB,12,0,0,37,187,1,0,3,21,8.9,RB,50,71,210,Nebraska,Big Ten,134,61,10/2/1985,2,2007,0,4.54,21,37,122,4.14,7
2000,David Sloan,28,Fresno,CA,DET,15,10,0,0,379,2,0,,32,11.84,TE,50,78,260,New Mexico,Mountain West,72,111,6/8/1972,0,1995,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2011,T.J. Yates,24,Marietta,GA,HOU,6,5,82,14,0,0,3,4.07,0,,QB,50,74,210,North Carolina,ACC,70,97,5/28/1987,5,2011,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1999,Dedric Ward,25,Cedar Rapids,IA,NYJ,16,10,0,1,325,3,0,-1,22,14.77,WR,50,69,187,Northern Iowa,Missouri Valley,#N/A,#N/A,9/29/1974,3,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2000,Rocket Ismail,31,Elizabeth,NJ,DAL,9,9,0,8,350,1,0,9.13,25,14,WR,50,71,180,Notre Dame,Independent,112,74,11/18/1969,0,1991,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1999,Stephen Alexander,24,Chickasha,OK,WAS,15,15,0,0,324,3,0,,29,11.17,TE,50,76,246,Oklahoma,Big 12,160,39,11/7/1975,2,1998,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003,Jed Weaver,27,Bend,OR,SFO,16,16,0,0,437,1,0,,35,12.49,TE,50,76,258,Oregon,Pac 12,143,47,8/11/1976,7,1999,0,4.93,31,31,106,4.17,7.16
2003,Bryant Johnson,22,Baltimore,MD,ARI,15,8,0,0,438,1,0,,35,12.51,WR,50,74,214,Penn St.,Big Ten,15,68,3/7/1981,1,2003,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009,Bo Scaife,28,Denver,CO,TEN,14,10,0,0,440,1,0,,45,9.78,TE,50,75,249,Texas,Big 12,149,45,1/6/1981,6,2005,0,4.75,24,32.5,114,4.14,7.21
2003,Jerald Sowell,29,Baton Rouge,LA,NYJ,16,16,0,1,436,1,0,2,47,9.28,RB,50,73,237,Tulane,American,60,119,1/21/1974,7,1997,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2004,Freddie Mitchell,26,Lakeland,FL,PHI,16,9,0,0,377,2,0,,22,17.14,WR,50,71,184,UCLA,Pac 12,100,88,11/28/1978,1,2001,0,4.46,0,39.5,120,4.06,6.95
2010,Fred Davis,24,Toledo,OH,WAS,16,9,0,0,316,3,0,,21,15.05,TE,50,75,250,USC,Pac 12,129,49,1/15/1986,2,2008,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013,Earl Bennett,26,Birmingham,AL,CHI,15,3,0,0,243,4,0,,32,7.59,WR,50,73,205,Vanderbilt,SEC,65,114,3/23/1987,3,2008,0,4.48,15,26,110,4.22,7.15
2012,Earl Bennett,25,Birmingham,AL,CHI,12,4,0,0,375,2,0,,29,12.93,WR,50,73,205,Vanderbilt,SEC,65,114,7/23/1900,3,2008,0,4.48,15,26,110,4.22,7.15
2008,Josh Morgan,23,Washington,DC,SFO,12,1,0,0,319,3,0,,20,15.95,WR,50,73,218,Virginia Tech,ACC,147,50,6/20/1985,6,2008,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002,Ron Dixon,26,Wildwood,FL,NYG,10,3,0,0,377,2,0,,22,17.14,WR,50,73,190,West Georgia,Division II,#N/A,#N/A,5/28/1976,3,2000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013,Lance Kendricks,25,Milwaukee,WI,STL,15,13,0,0,258,4,0,,32,8.06,TE,50,75,240,Wisconsin,Big Ten,135,60,1/30/1988,2,2011,0,4.65,25,34.5,122,4.15,6.94
2007,Eric Johnson,28,Needham,MA,NOR,14,12,0,0,378,2,0,,48,7.88,TE,50,75,256,Yale,Ivy,#N/A,#N/A,9/15/1979,7,2001,0,4.6,12,38,121,4.17,6.96
2012,Shaun Draughn,25,0,,KAN,16,0,0,59,158,0,0,3.95,24,6.58,RB,49,73,205,0,#N/A,#N/A,#N/A,7/23/1900,0,0,0,4.73,21,34,118,4.2,7.15
2011,Mike Thomas,24,Bossier City,LA,JAX,15,13,0,3,415,1,0,3.67,44,9.43,WR,49,68,187,Arizona,Pac 12,82,99,6/4/1987,4,2009,0,4.3,0,40.5,126,4.28,6.65
2007,Fred Jackson,26,Fort Worth,TX,BUF,8,1,0,58,190,0,0,5.17,22,8.64,RB,49,73,215,Coe College,Division III,#N/A,#N/A,2/20/1981,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2005,Ryan Fitzpatrick,23,Gilbert,AZ,STL,4,3,76,14,0,0,8,4.57,0,,QB,49,74,0,Harvard,Ivy,#N/A,#N/A,11/24/1982,7,2005,48,4.86,0,30.5,105,4.07,7.09
2006,Ashley Lelie,26,Bellflower,CA,ATL,15,10,0,0,430,1,0,,28,15.36,WR,49,75,200,Hawaii,Mountain West,109,86,2/16/1980,1,2002,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013,Andre Holmes,25,Hoffman Estates,IL,OAK,10,4,0,0,431,1,0,,25,17.24,WR,49,77,208,Hillsdale,#N/A,#N/A,#N/A,6/16/1988,0,0,0,4.51,11,35,130,4.31,6.69
2007,Trent Green,37,Cedar Rapids,IA,MIA,5,5,85,7,0,0,7,4.57,0,,QB,49,75,217,Indiana,Big Ten,58,118,7/9/1970,8,1993,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2008,Jordy Nelson,23,Manhattan,KS,GNB,16,2,0,0,366,2,0,,33,11.09,WR,49,75,215,Kansas St.,Big 12,118,71,5/31/1985,2,2008,0,4.51,0,31,123,4.35,7.03
1999,Ben Coates,30,Greenwood,SC,NWE,16,15,0,0,370,2,0,,32,11.56,TE,49,77,245,Livingstone,#N/A,#N/A,#N/A,8/16/1969,5,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013,Michael Bush,29,Louisville,KY,CHI,15,0,0,63,48,1,0,3.13,4,12,RB,49,74,243,Louisville,ACC,127,61,6/16/1984,4,2007,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2008,Vernon Davis,24,Washington,DC,SFO,16,16,0,1,358,2,0,11,31,11.55,TE,49,75,250,Maryland,Big Ten,98,86,1/31/1984,1,2006,0,4.38,33,42,128,4.17,7
2004,Aaron Shea,28,Ottawa,IL,CLE,15,8,0,0,252,4,0,,26,9.69,TE,49,75,255,Michigan,Big Ten,124,64,12/5/1976,4,2000,0,4.81,0,37.5,114,4.3,6.72
2008,Brian Griese,33,Miami,FL,TAM,5,5,110,5,0,0,7,-0.2,0,,QB,49,75,0,Michigan,Big Ten,124,64,3/18/1975,3,1998,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2007,Brad Smith,24,Youngstown,OH,NYJ,16,9,0,12,325,2,0,3.75,32,10.16,WR,49,74,210,Missouri,SEC,109,78,12/12/1983,4,2006,24,4.46,0,39.5,128,4.33,7.01
2008,Brandon Jackson,23,Detroit,MI,GNB,13,0,0,45,185,0,0,5.51,30,6.17,RB,49,71,210,Nebraska,Big Ten,134,61,10/2/1985,2,2007,0,4.54,21,37,122,4.14,7
2005,Koren Robinson,25,Belmont,NC,MIN,14,5,0,4,347,1,0,6.75,22,15.77,WR,49,73,205,North Carolina St.,ACC,98,88,3/19/1980,1,2001,0,4.61,0,38.5,123,0,0
2013,Kyle Rudolph,24,Cincinnati,OH,MIN,8,8,0,0,313,3,0,,30,10.43,TE,49,77,265,Notre Dame,Independent,112,74,11/9/1989,2,2011,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001,Marc Edwards,27,Cincinnati,OH,NWE,16,13,0,51,166,2,0,2.76,25,6.64,RB,49,73,249,Notre Dame,Independent,112,74,11/17/1974,2,1997,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001,Ricky Watters,32,Harrisburg,PA,SEA,5,4,0,72,107,0,0,4.42,11,9.73,RB,49,73,217,Notre Dame,Independent,112,74,4/7/1969,2,1991,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2010,Brian Robiskie,23,Los Angeles,CA,CLE,14,11,0,0,310,3,0,,29,10.69,WR,49,74,207,Ohio St.,Big Ten,138,41,12/3/1987,2,2009,0,4.46,0,37.5,0,4.19,6.72
1999,Jermaine Fazande,24,Marrero,LA,SDG,7,3,0,91,0,0,0,4.01,0,,RB,49,74,255,Oklahoma,Big 12,160,39,1/14/1975,2,1999,0,4.79,31.5,31.5,107,4.7,8.06
2008,Bobby Engram,35,Camden,SC,SEA,13,11,0,0,489,0,0,,47,10.4,WR,49,70,188,Penn St.,Big Ten,15,68,1/7/1973,2,1996,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2005,Bryant Johnson,24,Baltimore,MD,ARI,14,4,0,1,432,1,0,0,40,10.8,WR,49,74,214,Penn St.,Big Ten,15,68,3/7/1981,1,2003,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2007,Brian Leonard,23,Gouveneur,NY,STL,16,7,0,86,183,0,0,3.52,30,6.1,RB,49,74,226,Rutgers,Big Ten,87,96,2/3/1984,2,2007,0,4.52,28,34.5,122,4.22,6.88
2009,Chaz Schilens,24,Lancaster,CA,OAK,8,8,0,0,365,2,0,,29,12.59,WR,49,76,225,San Diego St.,Mountain West,77,104,11/7/1985,7,2008,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2005,Jeff Garcia,35,Gilroy,CA,DET,6,5,102,17,0,0,6,3,0,,QB,49,73,0,San Jose St.,Mountain West,72,107,2/24/1970,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013,Cole Beasley,24,Houston,TX,DAL,14,3,0,0,368,2,0,,39,9.44,WR,49,68,174,SMU,American,65,115,4/26/1989,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2005,Cedric Houston,23,Clarendon,AR,NYJ,12,4,0,81,66,0,0,3.73,8,8.25,RB,49,71,225,Tennessee,SEC,113,75,6/28/1982,6,2005,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003,Ricky Williams,25,Dallas,TX,IND,13,4,0,48,157,1,0,3.23,22,7.14,RB,49,67,195,Texas Tech,Big 12,120,70,8/29/1978,0,0,0,4.47,32.5,32.5,110,0,0
2008,DeShaun Foster,28,Charlotte,NC,SFO,16,2,0,76,133,1,0,3.08,16,8.31,RB,49,73,222,UCLA,Pac 12,100,88,1/10/1980,2,2002,0,4.57,20,35.5,119,4.16,6.82
2005,Alex Smith,23,Seattle,WA,TAM,16,10,0,0,367,2,0,,41,8.95,TE,49,76,0,Utah,Pac 12,123,61,5/7/1984,1,2005,0,4.75,28,0,0,0,0
2003,Brian Finneran,27,Mission Viejo,CA,ATL,12,10,0,0,368,2,0,,26,14.15,WR,49,77,210,Villanova,Big East,#N/A,#N/A,1/31/1976,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2005,Matt Schaub,24,West Chester,PA,ATL,16,1,33,9,0,0,0,8.44,0,,QB,49,77,0,Virginia,ACC,90,95,6/25/1981,3,2004,30,5.04,0,30.5,110,4.66,7.65
2011,Jake Locker,23,Ferndale,WA,TEN,5,0,34,8,0,0,0,7,0,,QB,49,74,228,Washington,Pac 12,86,98,6/15/1988,1,2011,20,4.51,0,35,115,4.12,6.77
2006,Jerramy Stevens,27,Olympia,WA,SEA,11,6,0,0,231,4,0,,22,10.5,TE,49,79,260,Washington,Pac 12,86,98,11/13/1979,1,2002,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1999,Terrell Fletcher,26,St. Louis,MO,SDG,15,2,0,48,360,0,0,2.63,45,8,RB,49,68,196,Wisconsin,Big Ten,135,60,9/14/1973,2,1995,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2007,Steve McNair,34,Mount Olive,MS,BAL,6,6,133,10,0,0,4,3.2,0,,QB,48,74,235,Alcorn St.,SWAC,#N/A,#N/A,2/14/1973,1,1995,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2004,Todd Heap,24,Mesa,AZ,BAL,6,5,0,0,303,3,0,,27,11.22,TE,48,77,252,Arizona St.,Pac 12,101,86,3/16/1980,1,2001,0,4.68,22,32,0,0,0
2004,Derick Armstrong,25,Jasper,TX,HOU,14,1,0,0,415,1,0,,29,14.31,WR,48,74,206,Ark-Monticello,#N/A,#N/A,#N/A,4/2/1979,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
